doi;names;results_from_orcid;
10.1158/0008-5472.can-10-4261; [Lou, McDonald, Oloumi, Chia, Ostlund, Ahmadi, Kyle, auf dem Keller, Leung, Huntsman, Clarke, Sutherland, Waterhouse, Bally, Roskelley, Overall, Minchinton, Pacchiano, Carta, Scozzafava, Touisni, Winum, Supuran, Dedhar]; [0000-0002-3431-7415, 0000-0003-4355-1657, 0000-0001-5020-3322, 0000-0003-3197-3414, 0000-0002-1994-4787, 0000-0001-9810-450X, 0000-0002-1141-6146, 0000-0002-2585-8391];
10.1021/ja809683v; [Maresca, Temperini, Vu, Pham, Poulsen, Scozzafava, Quinn, Supuran]; [0000-0001-5020-3322, 0000-0002-4022-2623];
10.1039/c4cc07320g; ["DAmbrosio", Carradori, Monti, Buonanno, Secci, Vullo, Supuran, De Simone]; [0000-0002-8698-9440, 0000-0002-1352-1900, 0000-0001-8115-026X, 0000-0001-9783-5431, 0000-0001-9647-7089];
10.1021/bi970760v; [Briganti, Mangani, Orioli, Scozzafava, Vernaglione, Supuran]; [0000-0001-5020-3322];
10.2174/138161208783877857; [Temperini, Scozzafava, Supuran]; [0000-0001-5020-3322];
10.1016/s0960-894x(03)00029-5; [Casini, Antel, Abbate, Scozzafava, David, Waldeck, Schäfer, Supuran]; [0000-0001-5020-3322, 0000-0002-5148-0636, 0000-0003-1599-9542];
10.1016/j.ntt.2012.12.003; [Wang, Ke, Zhang, Chen, Liu, Chen, Luo]; [0000-0001-5805-3189];
10.1038/nn.2647; [Nestler, Hyman]; [];
10.1016/j.nlm.2017.04.014; [Pattwell, Bath]; [];
10.1016/0166-4328(95)00262-6; [Naor, Dudai]; [];
10.1126/science.287.5451.248; [McGaugh]; [];
10.1016/0006-8993(75)90905-1; [Gold, Hankins, Edwards, Chester, McGaugh]; [];
10.1111/j.1460-9568.1997.tb01427.x; [Izquierdo, Quillfeldt, Zanatta, Quevedo, Schaeffer, Schmitz, Medina]; [];
10.1023/a:1025048802629; [LeDoux]; [];
10.1016/s0166-2236(02)02211-7; [McGaugh]; [];
10.3389/fnbeh.2012.00014; [Packard, Goodman]; [];
10.1073/pnas.0504436102; [McIntyre, Miyashita, Setlow, Marjon, Steward, Guzowski, McGaugh]; [0000-0001-9133-9445, 0000-0001-7069-8756];
10.1073/pnas.91.18.8477; [Packard, Cahill, McGaugh]; [];
